Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Географічний обʼєкт,Дата
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052300858,0,"Об'єднання ""Самопоміч""",Хмельницька обласна організація,Хмельницька область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26005924419116,0,"Об'єднання ""Самопоміч""",Хмельницька обласна організація,Хмельницька область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26009924425195,0,"Об'єднання ""Самопоміч""",Черкаська обласна організація,Черкаська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003051502635,"17464,17","Об'єднання ""Самопоміч""",Чернівецька міська організація,Чернівецька область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26008924419704,0,"Об'єднання ""Самопоміч""",Чернівецька міська організація,Чернівецька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055326037,0,"Об'єднання ""Самопоміч""",Шаргородська районна організація,Вінницька область,2017-06-30
невідомо,поточний рахунок,3111113,0,"Об'єднання ""Самопоміч""",Андрушівська районна організація,Житомирська область,2017-06-30
невідомо,поточний рахунок,311111,0,"Об'єднання ""Самопоміч""",Бердичівська районна організація,Житомирська область,2017-06-30
невідомо,поточний рахунок,3111110,0,"Об'єднання ""Самопоміч""",Красноармійська міська організація,Донецька область,2017-06-30
невідомо,поточний рахунок,311113,0,"Об'єднання ""Самопоміч""",Лисичанська міська організація,Луганська область,2017-06-30
невідомо,поточний рахунок,311116,0,"Об'єднання ""Самопоміч""",Токмацька міська організація,Запорізька область,2017-06-30
невідомо,поточний рахунок,3111112,0,"Об'єднання ""Самопоміч""",Чорноморська міська організація,Одеська область,2017-06-30
невідомо,поточний рахунок,3111114,0,"Об'єднання ""Самопоміч""",Житомирська районна організація,Житомирська область,2017-06-30
невідомо,поточний рахунок,3111111,0,"Об'єднання ""Самопоміч""",Золочівська районна організація,Львівська область,2017-06-30
невідомо,поточний рахунок,3111115,0,"Об'єднання ""Самопоміч""",Олевська районна організація,Житомирська область,2017-06-30
невідомо,поточний рахунок,311118,0,"Об'єднання ""Самопоміч""",Чернігівська обласна організація,Чернігівська область,2017-06-30
