Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об’єкт,Дата,Квартал,Рік,Примітки
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26054053605552,0,Опозиційний блок,Слов’янська районна організація,39923236,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003053219452,0,Опозиційний блок,Новобузька районна організація,39843072,Миколаївська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000053226136,1394,Опозиційний блок,Первомайська міська організація,39874273,Миколаївська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26003300956959,"55,09",Опозиційний блок,Кременчуцька міська організація,39966510,Полтавська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26003300956959,0,Опозиційний блок,Кременчуцька міська організація,39966510,Полтавська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000055333424,0,Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600815360,0,Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26000055333424,0,Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2017-12-31,4,2017,
невідомий,поточний рахунок,117,0,Опозиційний блок,Волинська обласна організація,39707509,Волинська область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600813320,"2804,01",Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2017-12-31,4,2017,
ПАТ “ПУМБ”,рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600813320,0,Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053610066,0,Опозиційний блок,Донецька обласна організація,39751914,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007053610066,0,Опозиційний блок,Донецька обласна організація,39751914,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008055807991,"7841,91",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26431500943204,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26434055801624,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26420300977782,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26429301977782,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26430500693102,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008055807991,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-12-31,4,2017,
ПАТ “Комінвестбанк”,поточний рахунок,26003016000800,"3,55",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,2017-12-31,4,2017,
ПАТ “Комінвестбанк”,рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26003016000800,0,Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600612837,"239697,69",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-12-31,4,2017,
ПАТ “ПУМБ”,рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600612837,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-12-31,4,2017,
"ПуАТ ""КБ ""Акордбанк""",поточний рахунок,26007066129001,71,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600115305,1200,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-12-31,4,2017,
"ПуАТ ""КБ ""Акордбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007066129001,0,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-12-31,4,2017,
"АБ ""Кліринговий дім""",поточний рахунок,26008010263,"15,04",Опозиційний блок,Київська міська організація,37311846,Київ,2017-12-31,4,2017,
"АТ ""Місто банк""",поточний рахунок,26006001030575,"19499,28",Опозиційний блок,Київська обласна організація,39756467,Київська область,2017-12-31,4,2017,
"АБ ""Південний""",поточний рахунок,26000010007869,717,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26002052900896,0,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-12-31,4,2017,
"АБ ""Південний""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26000010007869,0,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002052900896,0,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"8993,16",Опозиційний блок,Луганська обласна організація,39697428,Луганська область,2017-12-31,4,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011699073,0,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008053705605,0,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2017-12-31,4,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600313370,0,Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,2017-12-31,4,2017,
"ПАТ ""ПУМБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600313370,0,Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,2017-12-31,4,2017,
"ПАТ ""Банк Восток""",поточний рахунок,26007010349074,"3592,54",Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007054626513,"1649,6",Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,2017-12-31,4,2017,
"АБ ""Укргазбанк""",поточний рахунок,26009299493,"49,11",Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,2017-12-31,4,2017,
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26009299493,0,Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300953074,"6,96",Опозиційний блок,Сумська обласна організація,39673391,Сумська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26001300953074,0,Опозиційний блок,Сумська обласна організація,39673391,Сумська область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600915358,"1859,98",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008052302553,"409,66",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008052302553,0,Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26002301144523,"4413,35",Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,290099300144523,0,Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002301144523,0,Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600815298,2118,Опозиційний блок,Чернівецька обласна організація,39952906,Чернівецька область,2017-12-31,4,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2642873,0,Опозиційний блок,Чернівецька обласна організація,39952906,Чернівецька область,2017-12-31,4,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2642974,0,Опозиційний блок,Чернівецька обласна організація,39952906,Чернівецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003051415812,"1461,46",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26003051415812,0,Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2017-12-31,4,2017,
