id,Партія,Область,Місцева організація,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Вінницька обласна організація,25511109,"21050, Вінницька обл., місто Вінниця, ВУЛИЦЯ СОБОРНА, будинок 72, офіс 209","21050, Вінницька обл., місто Вінниця, ВУЛИЦЯ СОБОРНА, будинок 72, офіс 209","ПАТ Укрсоцбанк, МФО 300023, р/р 26000011969944"
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Вінницька районна організація,25962119,"23222, Вінницька обл., Вінницький район, село Якушинці, ВУЛИЦЯ АКЦІОНЕРНА, будинок 4","23222, Вінницька обл., Вінницький район, село Якушинці, ВУЛИЦЯ АКЦІОНЕРНА, будинок 4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Віньковецька районна організація,25879246,"32500, Хмельницька обл., Віньковецький район, селище міського типу Віньківці, ВУЛИЦЯ СОБОРНОЇ УКРАЇНИ, будинок 8/3","32500, Хмельницька обл., Віньковецький район, селище міського типу Віньківці, ВУЛИЦЯ СОБОРНОЇ УКРАЇНИ, будинок 8/3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Вітовська районна організація,26029426,"54050, Миколаївська обл., місто Миколаїв, ПРОСПЕКТ БОГОЯВЛЕНСЬКИЙ, будинок 308","54050, Миколаївська обл., місто Миколаїв, ПРОСПЕКТ БОГОЯВЛЕНСЬКИЙ, будинок 308",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Вовчанська районна організація,25855435,"62503, Харківська обл., Вовчанський район, місто Вовчанськ, ВУЛИЦЯ 1 ТРАВНЯ, будинок 2 Б","62503, Харківська обл., Вовчанський район, місто Вовчанськ, вул. Шевченко, будинок 4, кім. 206/2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Вознесенська міська організація,26029320,"56500, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ ЛЕНІНА, будинок 24, квартира 23","56500, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ ЛЕНІНА, будинок 24, квартира 23",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Вознесенська районна організація,26029343,"56500, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ ПІЩАНА, будинок 31","56500, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ ПІЩАНА, будинок 31",—
,"Всеукраїнське об'єднання ""Батьківщина""",Волинська область,Волинська обласна організація,25787544,"43025, Волинська обл., місто Луцьк, ВУЛИЦЯ НАБЕРЕЖНА, будинок 2","43025, Волинська обл., місто Луцьк, ВУЛИЦЯ НАБЕРЕЖНА, будинок 2","ПАТ Укрсоцбанк м. Луцьк, МФО 300023, р/р 26005000001595"
,"Всеукраїнське об'єднання ""Батьківщина""",Закарпатська область,Воловецька районна організація,34197618,"89100, Закарпатська обл.,Воловецький р-н, смт Воловець, вул. Карпатська, буд. 100, кім. 205","89100, Закарпатська обл.,Воловецький р-н, смт Воловець, вул. Карпатська, буд. 100, кім. 205",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Володарська районна організація,25979108,"09300, Київська обл., Володарський р-н., смт Володарка, вул Коцюбинського, буд. 22, кв. 77","09300, Київська обл., Володарський р-н., смт Володарка, вул Коцюбинського, буд. 29 а",—
,"Всеукраїнське об'єднання ""Батьківщина""",Волинська область,Володимир-Волинська міська організація,25910016,"44700, Волинська обл., місто Володимир-Волинський, ВУЛИЦЯ КОВЕЛЬСЬКА, будинок 29","44700, Волинська обл., місто Володимир-Волинський, ВУЛИЦЯ КОВЕЛЬСЬКА, будинок 29",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Володимирецька районна організація,25930311,"34300, Рівненська обл., Володимирецький р-н, смт.Володимирець, вул.Горького, 1","34300, Рівненська обл., Володимирецький р-н, смт.Володимирець, вул.Горького, 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Волочиська районна організація,25889569,"31200, Хмельницька обл., Волочиський район, м. Волочиськ, вул. Незалежності, б. 7-а, кім. 315","31200, Хмельницька обл., Волочиський район, м. Волочиськ, вул. Незалежності, б. 7-а, кім. 315","ПАТ КБ ""Приватбанк"" МФО 315405 №26006052428332; ПАТ КБ ""Приватбанк"" МФО 315405 №26053052417705"
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Врадіївська районна організація,26029359,"56301, Миколаївська обл., Врадіївський район, селище міського типу Врадіївка, вул. Даші Дяченко, буд. 4, кв. 3","56301, Миколаївська обл., Врадіївський район, селище міського типу Врадіївка, вул. Даші Дяченко, буд. 4, кв. 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Гадяцька районна організація,25913291,"37300, Полтавська обл., місто Гадяч, вул. Швидкого, буд. 9","37300, Полтавська обл., місто Гадяч, вул. Швидкого, буд. 9",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Гайворонська районна організація,23234367,"26300, Кіровоградська обл., Гайворонський район, місто Гайворон, ВУЛИЦЯ ВЕЛИКОГО КОБЗАРЯ, будинок 7","26300, Кіровоградська обл., Гайворонський район, місто Гайворон, ВУЛИЦЯ ВЕЛИКОГО КОБЗАРЯ, будинок 7",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Гайсинська районна організація,25962256,"23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16","23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16",—
,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська область,Галицька районна організація,33921537,"77100, Івано-Франківська обл., Галицький район, місто Галич, МАЙДАН РІЗДВА , будинок 21А","77100, Івано-Франківська обл., Галицький район, місто Галич, вул. Осломисла, будинок 13",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Галицька районна організація,25258461,"79005, Львівська обл., м. Львів, вул. Івана Франка, буд. 16, кв. 4","79005, Львівська обл., м. Львів, вул. Івана Франка, буд. 16, кв. 4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Генічеська районна організація,33512310,"75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109","75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернівецька область,Герцаївська районна організація,21448733,"60500, Чернівецька обл., Герцаївський район, місто Герца, ВУЛ. ГОЛОВНА, будинок 41","60500, Чернівецька обл., Герцаївський район, місто Герца, ВУЛ. ЦЕНТРАЛЬНА, будинок 88",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернівецька область,Глибоцька районна організація,25811099,"60400, Чернівецька обл., Глибоцький район, смт. Глибока, вул. Центральна, буд. 100","60400, Чернівецька обл., Глибоцький район, смт. Глибока, вул. Центральна, буд. 98",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Глобинська районна організація,25913316,"39001, Полтавська обл., Глобинський р-н, м. Глобине, пров. Новий, буд. 5","39001, Полтавська обл., Глобинський р-н, м. Глобине, пров. Новий, буд. 5",—
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Глухівська міська організація,24015957,"41400, Сумська обл., місто Глухів, ВУЛИЦЯ ПУШКІНА, будинок 90, квартира 16","41400, Сумська обл., місто Глухів, вул. Спаська, будинок 1","ПАТ КБ ""Приватбанк"" МФО 337546, р/р 26004055019365"
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Глухівська районна організація,40572420,"41400, Сумська обл., місто Глухів, ВУЛИЦЯ ЖЕРТВ РЕВОЛЮЦІЇ, будинок 13","41400, Сумська обл., місто Глухів, ВУЛИЦЯ ЖЕРТВ РЕВОЛЮЦІЇ, будинок 13","ПАТ КБ ""Приватбанк"" МФО 337546, р/р 26007055023518"
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Голованівська районна організація,33649976,"26500, Кіровоградська обл., Голованівський район, селище міського типу Голованівськ, ВУЛИЦЯ СУВОРОВА, будинок 4","26500, Кіровоградська обл., Голованівський район, селище міського типу Голованівськ, ВУЛИЦЯ СУВОРОВА, будинок 4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Голопристанська районна організація,34137590,"75600, Херсонська обл., Голопристанський р-н, місто Гола Пристань, ВУЛИЦЯ ПЕРШЕ ТРАВНЯ, будинок 31 А","75600, Херсонська обл., Голопристанський р-н, місто Гола Пристань, ВУЛИЦЯ ПЕРШЕ ТРАВНЯ, будинок 31 А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київ,Голосіївська районна організація,21716820,"03040, м.Київ, вул.Красилівська, 2/3","03040, м.Київ, вул.Красилівська, 2/3","ПАТ КБ ""ПриватБанк"" МФО 300711 р/р 26002052614362"
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Горностаївська районна організація,25900749,"74610, Херсонська обл., Горностаївський район, село Заводівка, ВУЛИЦЯ ЮВІЛЕЙНА, будинок 48","74610, Херсонська обл., Горностаївський район, село Заводівка, ВУЛИЦЯ ЮВІЛЕЙНА, будинок 48",—
,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська область,Городенківська районна організація,33733004,"78100, Івано-Франківська обл., Городенківський район, місто Городенка, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 9","78100, Івано-Франківська обл., Городенківський район, місто Городенка, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 9",—
,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська область,Городищенська районна організація,26096807,"19500, Черкаська обл., Городищенський район, місто Городище, ВУЛИЦЯ МИРУ, будинок 52","19500, Черкаська обл., Городищенський район, місто Городище, ВУЛИЦЯ МИРУ, будинок 52",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська область,Городнянська районна організація,25851874,"15100, Чернігівська обл, Городнянський р-н, м. Городня, 1 провул. Радгоспний, буд 38","15100, Чернігівська обл, Городнянський р-н, м. Городня, 1 провул. Радгоспний, буд 38",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Городоцька районна організація,33811878,"81500, Львівська обл., Городоцький район, місто Городок, ВУЛИЦЯ ЛЕСЯ МАРТОВИЧА, будинок 3","81500, Львівська обл., Городоцький район, місто Городок, ВУЛИЦЯ ЛЕСЯ МАРТОВИЧА, будинок 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Городоцька районна організація,25834634,"32000, Хмельницька обл., Городоцький район, місто Городок, вул. Г рушевського, 57","32000, Хмельницька обл., Городоцький район, місто Городок, вул. Грушевського, 57","ПАТ ""Укрсоцбанк"", МФО 300023, поточний рах. 26003011977193"
,"Всеукраїнське об'єднання ""Батьківщина""",Волинська область,Горохівська районна організація,25910068,"45700, Волинська обл., Горохівський район, місто Горохів, ВУЛИЦЯ СОКАЛЬСЬКА, будинок 2А","45700, Волинська обл., Горохівський район, місто Горохів, ВУЛИЦЯ СОКАЛЬСЬКА, будинок 2А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Гощанська районна організація,25930556,"35400, Рівненська обл., Гощанський район, селище міського типу Гоща, ВУЛ.ГРУШЕВСЬКОГО, будинок 26","35400, Рівненська обл., Гощанський район, селище міського типу Гоща, вул. Незалежності, будинок 26",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Гребінківська районна організація,25941887,"37400, Полтавська обл. Гребінківський р-н, м. Гребінка, вул. Крупської, буд 28-В, кв. 3","37400, Полтавська обл. Гребінківський р-н, м. Гребінка, вул. Крупської, буд 28-В, кв. 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Тернопільська область,Гусятинська районна організація,25782104,"48201, Тернопільська обл., Гусятинський район, селище міського типу Гусятин, пр-т Незалежності, будинок 21","48201, Тернопільська обл., Гусятинський район, селище міського типу Гусятин,вул. Героїв Майдану, будинок 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київ,Дарницька районна організація,21716949,"02091, м.Київ, вул.Харківське шосе, 164","02091, м.Київ, вул.Харківське шосе, 164","ПАТ КБ ""ПриватБанк"" МФО 320649 р/р 26008052683834"
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Дворічанська районна організація,25857799,"62702, Харківська обл., Дворічанський район, смт Дворічна, вул. 35-ї Гвардійської дивізії, будинок 11","62702, Харківська обл., Дворічанський район, смт Дворічна, вул. 35-ї Гвардійської дивізії, будинок 11",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Демидівська районна організація,25930295,"35200, Рівненська обл., Демидівський район, селище міського типу Демидівка, ВУЛ.17 ВЕРЕСНЯ, будинок 4","35200, Рівненська обл., Демидівський район, селище міського типу Демидівка, ВУЛ.17 ВЕРЕСНЯ, будинок 4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Деражнянська районна організація,33809235,"32200, Хмельницька обл., Деражнянський район, місто Деражня, ВУЛИЦЯ Л.УКРАЇНКИ, будинок 6","32200, Хмельницька обл., Деражнянський район, місто Деражня, ВУЛИЦЯ Л.УКРАЇНКИ, будинок 6",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Дергачівська районна організація,25866924,"62302, Харківська обл., Дергачівський район, м. Дергачі, вул. Сумський шлях, будинок 163, корпус Г, кім. 209","62302, Харківська обл., Дергачівський район, м. Дергачі, вул. Сумський шлях, будинок 163, корпус Г, кім. 209",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київ,Деснянська районна організація,21713603,"02166, м.Київ, пр.Лісовий, 39А","02222, м.Київ, вул.Беретті, 18",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська область,Деснянська районна організація,25901299,"14021, Чернігівська обл., місто Чернігів, ВУЛИЦЯ КРУПСЬКОЇ, будинок 55, квартира 2","14021, Чернігівська обл., місто Чернігів, ВУЛИЦЯ КРУПСЬКОЇ, будинок 55, квартира 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Дзержинська районна організація,25855547,"61145, Харківська обл., місто Харків, ПРОВУЛОК ІНЖЕНЕРНИЙ, будинок 1-А, кімната 207","61058, Харківська обл., місто Харків, вул. Сумська, будинок 57",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Диканська районна організація,25913204,"38522, Полтавська обл., Диканський район, с. Писарівщина, вул. Технікумівська, будинок 12,","38522, Полтавська обл., Диканський район, с. Писарівщина, вул. Технікумівська, будинок 12,",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Дніпровська міська організація,25841338,"49005, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 16","49005, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 16","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26006050274753"
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Дніпровська районна організація,26051242,"51931, Дніпропетровська обл., місто Кам'янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам'янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26009050272707"
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Дніпровська районна організація,25929493,"73000, Херсонська обл., місто Херсон, ПРОСП. 200 РОКІВ ХЕРСОНА, будинок 31","73000, Херсонська обл., місто Херсон, ПРОСП. 200 РОКІВ ХЕРСОНА, будинок 31",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київ,Дніпровська районна організація,25880427,"02125, м.Київ, бульв. Перова, 4","02125, м.Київ, бульв. Перова, 4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Дніпропетровська обласна організація,25788756,"49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 8","49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 8","ПАТ ""ВТБ БАНК' ВІДДІЛЕННЯ ""ДНІПРОПЕТРОВСЬКЕ "", МФО 321767, Р/РАХ № 26007010037108"
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Дніпропетровська районна організація,25914066,"52005, Дніпропетровська обл., Дніпровський район, селище міського типу Слобожанське, ВУЛ.ТЕПЛИЧНА, будинок 27, квартира 26","52005, Дніпропетровська обл., Дніпровський район, селище міського типу Слобожанське, ВУЛ.ТЕПЛИЧНА, будинок 27, квартира 26",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Добровеличківська районна організація,25812971,"27000, Кіровоградська обл., Добровеличеівський р-н, смт.Добровеличківка, вул. Поповича, 13","27000, Кіровоградська обл., Добровеличеівський р-н, смт.Добровеличківка, вул. Поповича, 13",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Довгинцівська районна організація,25841232,"50086, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ БУДЬОННОГО, будинок 4, ПРИМ. 1","50086, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ БУДЬОННОГО, будинок 4, ПРИМ. 1","ПАТ КБ ""ПриватБанк"", Криворізька філія, МФО 305750, р/р 26006053520115"
,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська область,Долинська районна організація,33921469,"77500, Івано-Франківська обл., Долинський р-н, м. Долина, вул. Грушевського, б. 18","77500, Івано-Франківська обл., Долинський р-н, м. Долина, вул. Грушевського, б. 18",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Долинська районна організація,23234203,"28500, Кіровоградська обл., Долинський район, місто Долинська, вул. Нова, буд. 106, кв. 1","28500, Кіровоградська обл., Долинський район, місто Долинська,Сичева, будинок 31",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Доманівська районна організація,26029337,"56401, Миколаївська обл., Доманівський район, селище міського типу Доманівка, ВУЛИЦЯ КІРОВА, будинок 61","56401, Миколаївська обл., Доманівський район, селище міського типу Доманівка, ВУЛИЦЯ КІРОВА, будинок 61",—
,"Всеукраїнське об'єднання ""Батьківщина""",Донецька область,Донецька обласна організація,26502259,"87500, Донецька обл., місто Маріуполь, ПРОВУЛОК НАХІМОВА, будинок 3, квартира 31-32","87500, Донецька обл., місто Маріуполь, ПРОВУЛОК НАХІМОВА, будинок 3, квартира 31-32","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК"", Маріупольська філія, МФО 335429, р/р 26005054005253"
,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська область,Драбівська районна організація,25974269,"19800, Черкаська обл., Драбівський р-н, смт Драбів, вул. Кутузова, 12","19800, Черкаська обл., Драбівський р-н, смт Драбів, вул. Кутузова, 12",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Дрогобицька міська організація,25257295,"82100, Львівська обл., м. Дрогобич, вул. Шевченка, буд. 2","82100, Львівська обл., м. Дрогобич, вул. Шевченка, буд. 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Дрогобицька районна організація,25257088,"82100, Львівська обл., місто Дрогобич, ВУЛ.П.ОРЛИКА, будинок 14, корпус 1, офіс 4","82100, Львівська обл., місто Дрогобич, ВУЛ.П.ОРЛИКА, будинок 14, корпус 1, офіс 4","м.Дрогобич, АТ ""Ощадбанк"", № 10013/0242, МФО 325796, р/р 26009300454012"
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Дубенська міська організація,25930378,"35600, Рівненська обл., місто Дубно, ВУЛ. СВОБОДИ, 12","35600, Рівненська обл., місто Дубно, ВУЛ. СВОБОДИ, 12","Ощадний Банк, МФО 333368, р/р260013012638"
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Дубенська районна організація,25930792,"35600,Рівненська обл, м.Дубно вул.Городня,14","35600,Рівненська обл, м.Дубно вул.Городня,14","Рівненське обласне управління АТ ""Ощадбанк"", 333368, №26005300004866"
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Дубровицька районна організація,25930540,"34100, Рівненська обл., Дубровицький р-н, м.Дубровиця, вул.Миру,1","34100, Рівненська обл., Дубровицький р-н, м.Дубровиця, вул.Миру,1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Дунаєвецька районна організація,25879298,"32300, Хмельницька обл., Дунаєвецький район, місто Дунаївці, ВУЛИЦЯ ІІІ ІНТЕРНАЦІОНАЛУ, будинок 24","32300, Хмельницька обл., Дунаєвецький район, місто Дунаївці, ВУЛИЦЯ ІІІ ІНТЕРНАЦІОНАЛУ, будинок 24",—
,"Всеукраїнське об'єднання ""Батьківщина""",Запорізька область,Енергодарська міська організація,34377857,"71504, Запорізька обл., місто Енергодар, ВУЛИЦЯ КОЗАЦЬКА, будинок 17, квартира 40","71504, Запорізька обл., місто Енергодар, ВУЛИЦЯ КОЗАЦЬКА, будинок 17, квартира 40",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Єланецька районна організація,26029277,"55500, Миколаївська обл., Єланецький район, селище міського типу Єланець, вул. Горького, будинок 86","55500, Миколаївська обл., Єланецький район, селище міського типу Єланець, вул. Горького, будинок 86",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Ємільчинська районна організація,33877373,"11201, Житомирська обл., Ємільчинський район, селище міського типу Ємільчине, ВУЛИЦЯ СОБОРНА, будинок 25","11201, Житомирська обл., Ємільчинський район, селище міського типу Ємільчине, ВУЛИЦЯ СОБОРНА, будинок 25","ПАТ КБ ПРИВАТБАНК смт. Ємільчино, МФО 311744 ЄДРПОУ 14360570, рах №26002055815901"
,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська область,Жашківська районна організація,26096765,"19200, Черкаська обл., Жашківський район, місто Жашків, вул. Леніна, будинок1А","19200, Черкаська обл., Жашківський район, місто Жашків, вул. Леніна, будинок 1А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Жидачівська районна організація,25252659,"81700, Львівська область, Жидачівський район,м.Жидачів, вул.Кобзарева, 2","81700, Львівська область, Жидачівський район,м.Жидачів, вул.Кобзарева, 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Житомирська міська організація,33975053,"10014, Житомирська обл., місто Житомир, ВУЛИЦЯ ЛЕХА КАЧИНСЬКОГО, будинок 20","10014, Житомирська обл., місто Житомир, ВУЛИЦЯ ЛЕХА КАЧИНСЬКОГО, будинок 20",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Житомирська обласна організація,25776533,"10014, Житомирська обл., місто Житомир, ВУЛИЦЯ ЛЕХА КАЧИНСЬКОГО, будинок 20","10014, Житомирська обл., місто Житомир, ВУЛИЦЯ ЛЕХА КАЧИНСЬКОГО, будинок 20","Житомирське відділення ПАТ ""Айбокс Банк"", ЄДРПОУ 21570492, МФО 322302, р/р 26001001929301"
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Житомирська районна організація,33975226,"10003, Житомирська обл., місто Житомир, ВУЛИЦЯ ОЛЬЖИЧА, будинок 7, корпус А","10003, Житомирська обл., місто Житомир, ВУЛИЦЯ ОЛЬЖИЧА, будинок 7, корпус А","ПАТ КБ ПРИВАТБАНК м. Житомир, МФО 311744 ЄДРПОУ 14360570, рах №26439055800006, рах. №26437055800796"
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Жмеринська міська організація,25962289,"23100, Вінницька обл., місто Жмеринка, вул. Верхня Трудова, будинок 2","23100, Вінницька обл., місто Жмеринка, вул. Верхня Трудова, будинок 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Жмеринська районна організація,25512623,"23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ ВЕРХНЯ ТРУДОВА, будинок 2","23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ ВЕРХНЯ ТРУДОВА, будинок 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Жовківська районна організація,25256485,"80300, Львівська обл., Жовківський район, місто Жовква, ВУЛИЦЯ ЛЬВІВСЬКА, будинок 37","80300, Львівська обл., Жовківський район, місто Жовква, ВУЛИЦЯ ЛЬВІВСЬКА, будинок 37",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Жовтнева районна організація,25857782,"61020, Харківська обл., місто Харків, ВУЛИЦЯ ТРЕТЯ,будинок 14","61058, Харківська обл., місто Харків, вул. Полтавський Шлях, будинок 31, кімната 12",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Жовтоводська міська організація,25841344,"52204, Дніпропетровська обл., місто Жовті Води, ВУЛИЦЯ КРОПОТКІНА, будинок 14, корпус 3, кімната 134 А","52204, Дніпропетровська обл., місто Жовті Води, ВУЛИЦЯ КРОПОТКІНА, будинок 14, корпус 3, кімната 134 А","ПАТ КБ ""Приватбанк"", МФО 305299, № р/р 26001050273533"
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Заводська районна організація,25956805,"51931, Дніпропетровська обл., місто Кам'янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам'янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26004050270340"
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Заводська районна організація,26029395,"54029, Миколаївська обл., місто Миколаїв, ВУЛИЦЯ ПАРИЗЬКОЇ КОМУНИ, будинок 26, корпус 2","54029, Миколаївська обл., місто Миколаїв, ВУЛИЦЯ ПАРИЗЬКОЇ КОМУНИ, будинок 26, корпус 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Закарпатська область,Закарпатська обласна організація,25446205,"89600, Закарпатська обл., місто Мукачеве, вул. Достоєвського, будинок 7, кв. 5","88000, Закарпатська обл., місто Ужгород, вул. Гагаріна, буд. 38","АТ ""Укрсиббанк"" МФО 351005, р/р: 26004207071600; АТ ""Укрсиббанк"" МФО 351005, р/р: 26003207071601"
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Залізнична районна організація,33894966,"79005, Львівська обл.,м. Львів, вул. Івана Франка, буд. 16, кв. 4","79005, Львівська обл.,м. Львів, вул. Івана Франка, буд. 16, кв. 4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Тернопільська область,Заліщицька районна організація,25782073,"48600, Тернопільська обл., Заліщицький район, місто Заліщики, ВУЛИЦЯ С.БАНДЕРИ, будинок 80","48600, Тернопільська обл., Заліщицький район, місто Заліщики, ВУЛИЦЯ С.БАНДЕРИ, будинок 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Замостянська районна організація,25962094,"21000, Вінницька обл., місто Вінниця, ВУЛИЦЯ СОБОРНА, будинок 72, офіс 209","21000, Вінницька обл., місто Вінниця, ВУЛИЦЯ СОБОРНА, будинок 72, офіс 209",—
