Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Column
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007052308633,"45,31","Всеукраїнське об'єднання ""Батьківщина""",Ізяславська районна організація,25879269,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052325579,0,"Всеукраїнське об'єднання ""Батьківщина""",Білогірська районна організація,33977690,Білогірська районна організація,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055806573,0,"Всеукраїнське об'єднання ""Батьківщина""",Баранівська районна організація,33265812,Житомирська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053009101,0,"Всеукраїнське об'єднання ""Батьківщина""",Баришівська районна організація,25822915,Київська область,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26003924423074,"99,52","Всеукраїнське об'єднання ""Батьківщина""",Бердичівська міська організація,25776991,Житомирська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055815853,0,"Всеукраїнське об'єднання ""Батьківщина""",Бердичівська районна організація,25923272,Житомирська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26003300631379,0,"Всеукраїнське об'єднання ""Батьківщина""",Бережанська районна організація,25782162,Івано-Франківська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26004300264318,"239,13","Всеукраїнське об'єднання ""Батьківщина""",Білоцерківська міська організація,25822507,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053004103,45,"Всеукраїнське об'єднання ""Батьківщина""",Білоцерківська районна організація,26002120,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055026215,"42,93","Всеукраїнське об'єднання ""Батьківщина""",Білопільська районна організація,37158372,Сумська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26432051400056,66,"Всеукраїнське об'єднання ""Батьківщина""",Борзнянська районна організація,25932087,Чернігівська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008300557006,"241,59","Всеукраїнське об'єднання ""Батьківщина""",Бориславська міська організація,25258685,Львівська область ,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26007212004327,"116,15","Всеукраїнське об'єднання ""Батьківщина""",Бориспільська міська організація,25951133,Київська область,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26009212004314,0,"Всеукраїнське об'єднання ""Батьківщина""",Бориспільська районна організація,25951185,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007053168170,0,"Всеукраїнське об'єднання ""Батьківщина""",Бородянська районна організація,25931580,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055115013,0,"Всеукраїнське об'єднання ""Батьківщина""",Борщівська районна організація,25887702,Тернопільська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053149303,"522,27","Всеукраїнське об'єднання ""Батьківщина""",Броварська міська організація,25951446,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053010633,"4,14","Всеукраїнське об'єднання ""Батьківщина""",Броварська районна організація,26078643,Київська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300558752,"12,26","Всеукраїнське об'єднання ""Батьківщина""",Бродівська районна організація,25254434,Львівська область ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004055018872,"170,26","Всеукраїнське об'єднання ""Батьківщина""",Буринська районна організація,24015940,Сумська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300553893,"273,33","Всеукраїнське об'єднання ""Батьківщина""",Буська районна організація,25256924,Львівська область ,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001011962348,"212,75","Всеукраїнське об'єднання ""Батьківщина""",Бучанська міська організація,35095489,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003055022568,"1,32","Всеукраїнське об'єднання ""Батьківщина""",Великописарівська районна організація,24016253,Сумська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007052313510,0,"Всеукраїнське об'єднання ""Батьківщина""",Віньковецька районна організація,25879246,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053001369,0,"Всеукраїнське об'єднання ""Батьківщина""",Васильківська міська організація,26002114,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053155833,0,"Всеукраїнське об'єднання ""Батьківщина""",Васильківська районна організація,25927063,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437054600507,150,"Всеукраїнське об'єднання ""Батьківщина""",Великобагачанська районна організація,25913121,Полтавська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437054600886,200,"Всеукраїнське об'єднання ""Батьківщина""",Великобагачанська районна організація,25913121,Полтавська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053013484,0,"Всеукраїнське об'єднання ""Батьківщина""",Вишгородська районна організація,25951149,Київська область,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26005000001595,"4660,98","Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009054729281,"204,49","Всеукраїнське об'єднання ""Батьківщина""",Володимирецька районна організація,25930311,Рівненська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052428332,"28,85","Всеукраїнське об'єднання ""Батьківщина""",Волочиська районна організація,25889569,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26053052417705,0,"Всеукраїнське об'єднання ""Батьківщина""",Волочиська районна організація,25889569,Хмельницька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300573537,100,"Всеукраїнське об'єднання ""Батьківщина""",Галицька районна організація,33921537,Львівська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004055019365,0,"Всеукраїнське об'єднання ""Батьківщина""",Глухівська міська організація,24015957,Сумська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055023518,0,"Всеукраїнське об'єднання ""Батьківщина""",Глухівська районна організація,40572420,Сумська область,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011977193,0,"Всеукраїнське об'єднання ""Батьківщина""",Городоцька районна організація,33811878,Хмельницька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300560756,"13,89","Всеукраїнське об'єднання ""Батьківщина""",Городоцька районна організація,33811878,Львівська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005054005253,92,"Всеукраїнське об'єднання ""Батьківщина""",Донецька обласна організація,26502259,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26053054005238,"0,46","Всеукраїнське об'єднання ""Батьківщина""",Донецька обласна організація,26502259,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26006300558740,"118,37","Всеукраїнське об'єднання ""Батьківщина""",Дрогобицька міська організація,25257295,Львівська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300454012,"105,52","Всеукраїнське об'єднання ""Батьківщина""",Дрогобицька районна організація,25257088,Львівська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,260013012638,"25,94","Всеукраїнське об'єднання ""Батьківщина""",Дубенська міська організація,25930378,Рівненська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26006300846513,0,"Всеукраїнське об'єднання ""Батьківщина""",Дунаєвецька районна організація,25879298,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,260020558151901,0,"Всеукраїнське об'єднання ""Батьківщина""",Ємільчинська районна організація,33877373,Житомирська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26002300561430,"15,29","Всеукраїнське об'єднання ""Батьківщина""",Жидачівська районна організація,25252659,Львівська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300562340,"175,35","Всеукраїнське об'єднання ""Батьківщина""",Жовківська районна організація,25256485,Львівська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26006300560545,105,"Всеукраїнське об'єднання ""Батьківщина""",Залізнична районна організація,33894966,Львівська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26006300633158,0,"Всеукраїнське об'єднання ""Батьківщина""",Збаразька районна організація,26024423,Тернопільська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050016077,97,"Всеукраїнське об'єднання ""Батьківщина""",Амур-Нижньодніпровська районна організація,25841373,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004050014885,0,"Всеукраїнське об'єднання ""Батьківщина""",Амур-Нижньодніпровська районна організація,25841373,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26085000842208,0,"Всеукраїнське об'єднання ""Батьківщина""",Амур-Нижньодніпровська районна організація,25841373,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004050270340,0,"Всеукраїнське об'єднання ""Батьківщина""",Заводська районна організація,25956805,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009050272707,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська районна організація,26051242,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001050273533,0,"Всеукраїнське об'єднання ""Батьківщина""",Жовтоводська міська організація,25841344,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004050322210,0,"Всеукраїнське об'єднання ""Батьківщина""",Першотравенська міська організація,34357170,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26055050245012,0,"Всеукраїнське об'єднання ""Батьківщина""",Першотравенська міська організація,34357170,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26042050209403,0,"Всеукраїнське об'єднання ""Батьківщина""",Першотравенська міська організація,34357170,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009050011474,0,"Всеукраїнське об'єднання ""Батьківщина""",Новокодацька районна організація,25841440,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053515182,0,"Всеукраїнське об'єднання ""Батьківщина""",Тернівська районна організація,25840764,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050277452,0,"Всеукраїнське об'єднання ""Батьківщина""",Чечелівська районна організація,25841433,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26055050234829,0,"Всеукраїнське об'єднання ""Батьківщина""",Чечелівська районна організація,25841433,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050261196,0,"Всеукраїнське об'єднання ""Батьківщина""",Шевченківська районна організація,25841386,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26054050238826,0,"Всеукраїнське об'єднання ""Батьківщина""",Шевченківська районна організація,25841386,Дніпропетровська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300004866,"82,79","Всеукраїнське об'єднання ""Батьківщина""",Дубенська районна організація,25930792,Рівненська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000050300991,0,"Всеукраїнське об'єднання ""Батьківщина""",Томаківська районна організація,25927078,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002050267720,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральна районна організація,25841404,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26053050237196,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральна районна організація,25841404,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053525144,0,"Всеукраїнське об'єднання ""Батьківщина""",Апостолівська районна організація,25839264,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050293540,0,"Всеукраїнське об'єднання ""Батьківщина""",Верхньодніпровська районна організація,25947108,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001050305768,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська районна організація,26051242,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,2641050223037,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська районна організація,26051242,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26059050234665,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська районна організація,26051242,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006053520115,0,"Всеукраїнське об'єднання ""Батьківщина""",Довгинцівська районна організація,25841232,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053514171,0,"Всеукраїнське об'єднання ""Батьківщина""",Інгулецька районна організація,26051259,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005050279016,358,"Всеукраїнське об'єднання ""Батьківщина""",Індустріальна районна організація,25841686,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053511517,0,"Всеукраїнське об'єднання ""Батьківщина""",Криворізька районна організація,33453643,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006050268468,0,"Всеукраїнське об'єднання ""Батьківщина""",Вільногірська міська організація,25841321,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006050274753,8,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська міська організація,25841338,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26058050234150,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська міська організація,25841338,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006053519096,"168,37","Всеукраїнське об'єднання ""Батьківщина""",Криворізька міська організація,25840741,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050277361,"15,22","Всеукраїнське об'єднання ""Батьківщина""",Марганецька міська організація,25841350,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050277920,0,"Всеукраїнське об'єднання ""Батьківщина""",Нікопольська міська організація,25841367,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006050271961,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська міська організація,25841700,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26421050000126,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська міська організація,25841700,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26421050000966,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська міська організація,25841700,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050256480,0,"Всеукраїнське об'єднання ""Батьківщина""",Павлоградська міська організація,25914043,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002050274326,0,"Всеукраїнське об'єднання ""Батьківщина""",Покровська міська організація,25841692,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26040050209977,0,"Всеукраїнське об'єднання ""Батьківщина""",Покровська міська організація,25841692,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26055050232735,0,"Всеукраїнське об'єднання ""Батьківщина""",Покровська міська організація,25841692,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050318275,0,"Всеукраїнське об'єднання ""Батьківщина""",Синельниківська міська організація,25927092,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004050298559,0,"Всеукраїнське об'єднання ""Батьківщина""",Магдалинівська районна організація,25927057,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009053512250,0,"Всеукраїнське об'єднання ""Батьківщина""",Металургійна районна організація,25841226,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050262935,0,"Всеукраїнське об'єднання ""Батьківщина""",Нікопольська районна організація,25841717,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050267479,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська районна організація,26051168,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004050280987,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська районна організація,26051168,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26048050219260,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська районна організація,26051168,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26054050237667,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська районна організація,26051168,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26081000739906,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомосковська районна організація,26051168,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002050281483,"105,73","Всеукраїнське об'єднання ""Батьківщина""",Петриківська районна організація,25914072,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26050050236316,0,"Всеукраїнське об'єднання ""Батьківщина""",Петриківська районна організація,25914072,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26088000564185,0,"Всеукраїнське об'єднання ""Батьківщина""",Петриківська районна організація,25914072,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050261407,0,"Всеукраїнське об'єднання ""Батьківщина""",Петриківська районна організація,25914072,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050273177,0,"Всеукраїнське об'єднання ""Батьківщина""",Південна районна організація,25956774,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053514525,0,"Всеукраїнське об'єднання ""Батьківщина""",Саксаганська районна організація,25956780,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050276969,228,"Всеукраїнське об'єднання ""Батьківщина""",Самарська районна організація,25841456,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050272690,0,"Всеукраїнське об'єднання ""Батьківщина""",Соборна районна організація,25841396,Дніпропетровська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26004300633436,0,"Всеукраїнське об'єднання ""Батьківщина""",Солонянська районна організація,33811574,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002053518596,0,"Всеукраїнське об'єднання ""Батьківщина""",Софіївська районна організація,25947083,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000050269195,"141,44","Всеукраїнське об'єднання ""Батьківщина""",Царичанська районна організація,25841670,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053514892,0,"Всеукраїнське об'єднання ""Батьківщина""",Центрально-Міська районна організація,25840758,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053512505,0,"Всеукраїнське об'єднання ""Батьківщина""",Широківська районна організація,25841410,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004053517302,0,"Всеукраїнське об'єднання ""Батьківщина""",Широківська районна організація,25841410,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26053053507329,0,"Всеукраїнське об'єднання ""Батьківщина""",Широківська районна організація,25841410,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26082000777720,0,"Всеукраїнське об'єднання ""Батьківщина""",Широківська районна організація,25841410,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050293118,0,"Всеукраїнське об'єднання ""Батьківщина""",Юр'ївська районна організація,25841427,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009050272600,0,"Всеукраїнське об'єднання ""Батьківщина""",Тернівська міська організація,25947095,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050275029,0,"Всеукраїнське об'єднання ""Батьківщина""",Синельниківська районна організація,25914057,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053515374,0,"Всеукраїнське об'єднання ""Батьківщина""",Покровська районна організація,33759750,Дніпропетровська область,2017-06-30,2,2017,
"ПАТ КБ ""Глобус""",поточний рахунок,2600400123832,"29,3","Всеукраїнське об'єднання ""Батьківщина""",Запорізька обласна організація,25766789,Запорізька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300025272,"311,5","Всеукраїнське об'єднання ""Батьківщина""",Здолбунівська районна організація,25930289,Рівненська область,2017-06-30,2,2017,
"ПАТ ""Кредобанк""",поточний рахунок,2600401064845,"3180,7","Всеукраїнське об'єднання ""Батьківщина""",Золочівська районна організація,25253624,Львівська область ,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26004207071600,"301,5","Всеукраїнське об'єднання ""Батьківщина""",Закарпатська обласна організація,25446205,Закарпатська область,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003207071601,"219,16","Всеукраїнське об'єднання ""Батьківщина""",Закарпатська обласна організація,25446205,Закарпатська область,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26002011951983,0,"Всеукраїнське об'єднання ""Батьківщина""",Ірпінська міська організація,25951179,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052404469,"292,35","Всеукраїнське об'єднання ""Батьківщина""",Кам’янець-Подільська міська організація,25889575,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26058052403532,0,"Всеукраїнське об'єднання ""Батьківщина""",Кам’янець-Подільська міська організація,25889575,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004060713406,134,"Всеукраїнське об'єднання ""Батьківщина""",Кам'янець-Подільська районна організація,25889552,Хмельницька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26052060682051,0,"Всеукраїнське об'єднання ""Батьківщина""",Кам'янець-Подільська районна організація,25889552,Хмельницька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26007300565356,"51,95","Всеукраїнське об'єднання ""Батьківщина""",Кам’янка-Бузька районна організація,25258550,Львівська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053004898,97,"Всеукраїнське об'єднання ""Батьківщина""",Києво-Святошинська районна організація,25979137,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002052614362,"97,27","Всеукраїнське об'єднання ""Батьківщина""",Голосіївська районна організація,21716820,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008052683834,108,"Всеукраїнське об'єднання ""Батьківщина""",Дарницька районна організація,21716949,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052720575,"1942,55","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,21709458,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052755262,"3375,64","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,21709458,Київ,2017-06-30,2,2017,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26002135487,"60,46","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,21709458,Київ,2017-06-30,2,2017,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26007135493,"1116,25","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,21709458,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052619761,"127,44","Всеукраїнське об'єднання ""Батьківщина""",Оболонська районна організація,25895860,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002052628217,0,"Всеукраїнське об'єднання ""Батьківщина""",Печерська районна організація,21715915,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008052769183,50,"Всеукраїнське об'єднання ""Батьківщина""",Святошинська районна організація,21716010,Київ,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052622829,1180,"Всеукраїнське об'єднання ""Батьківщина""",Солом'янська районна організація,21716903,Київ,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26004924426650,"17079,76","Всеукраїнське об'єднання ""Батьківщина""",Київська обласна організація,21710792,Київська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004312273001,"22776,81","Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,24146984,Кіровоградська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004055510716,"382,23","Всеукраїнське об'єднання ""Батьківщина""",Ковельська міська організація,25910039,Волинська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055506469,"20,71","Всеукраїнське об'єднання ""Батьківщина""",Ковельська районна організація,25910097,Волинська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26434051400894,0,"Всеукраїнське об'єднання ""Батьківщина""",Козелецька районна організація,25623363,Чернігівська область,2017-06-30,2,2017,
